scp158, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 0.020538423093802827, observed = 1.0073580209824677, deviation = 0.1309565427277208, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp159, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 0.053532452596977975, observed = 1.0171828854413594, deviation = 0.13223377510737672, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp160, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 0.09552485378283726, observed = 0.975263463750088, deviation = 0.12678425028751145, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp161, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 0.12851888328601235, observed = 0.96177064989321, deviation = 0.1250301844861173, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp162, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 0.13451779774113515, observed = 0.9444788884455606, deviation = 0.12278225549792288, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp163, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 0.17051128447187164, observed = 0.9575787077240829, deviation = 0.12448523200413078, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp164, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 0.20650477120260813, observed = 0.9451338794094867, deviation = 0.12286740432323327, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp165, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 0.24249825793334467, observed = 0.9233008472786162, deviation = 0.1200291101462201, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp166, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 0.2784917446640811, observed = 0.9156592860328114, deviation = 0.1190357071842655, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp167, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 0.31448523139481765, observed = 0.8871016800056328, deviation = 0.11532321840073227, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp168, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 0.3504787181255542, observed = 0.8785431314103316, deviation = 0.11421060708334312, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp169, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 0.38647220485629064, observed = 0.8691549275940573, deviation = 0.11299014058722745, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp170, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 0.4224656915870272, observed = 0.8593300631351656, deviation = 0.11171290820757153, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp171, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 0.4584591783177637, observed = 0.8396803342173821, deviation = 0.10915844344825967, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp172, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 0.49445266504850016, observed = 0.8226505691553031, deviation = 0.1069445739901894, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp173, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 0.5304461517792367, observed = 0.8062757950571502, deviation = 0.10481585335742953, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp174, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 0.5664396385099733, observed = 0.8049658131292979, deviation = 0.10464555570680874, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp175, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 0.596434210785587, observed = 0.7846610932475885, deviation = 0.1020059421221865, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp176, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 0.6324276975163234, observed = 0.7741812378247706, deviation = 0.10064356091722018, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp177, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 0.66842118424706, observed = 0.7685046494707444, deviation = 0.09990560443119677, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp178, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 0.7044146709777965, observed = 0.7512565540873566, deviation = 0.09766335203135636, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp179, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 0.740408157708533, observed = 0.7381567348088343, deviation = 0.09596037552514845, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp180, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 0.7742591749910114, observed = 0.7409638389399461, deviation = 0.096325299062193, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp181, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 0.8123951311700061, observed = 0.7237469336024597, deviation = 0.09408710136831976, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
