!Based on 
! "An experimental and kinetic modeling study of n-butanol combustion"
! S. M. Sarathy, M.J. Thomson, C. Togbe, P. Dagaut, F. Halter, C. Mounaim-Rousselle
! Combustion and Flame 156(4), 852-864 (2009). http://dx.doi.org/10.1016/j.combustflame.2008.11.019
!
HE         0      10.2     2.576      0      0      0      ! *
AR         0      136.5    3.33       0      0      0      
A          0      136.5    3.33       0      0      0      
E          0      850      425        0      0      1      ! singh
CL         0      130.8    3.613      0      0      1      ! singh
CL-        0      130.8    3.613      0      0      1      ! singh
HCL        1      344.7    3.339      1.084  0      1      ! singh
F          0      80       2.75       0      0      0      
HF         1      330      3.148      1.92   2.46   1      ! sv/mec
HF0        1      352      2.49       1.73   0      5      
HF1        1      352      2.49       1.73   0      5      
HF2        1      352      2.49       1.73   0      5      
HF3        1      352      2.49       1.73   0      5      
HF4        1      352      2.49       1.73   0      5      
HF5        1      352      2.49       1.73   0      5      
HF6        1      352      2.49       1.73   0      5      
HF7        1      352      2.49       1.73   0      5      
HF8        1      352      2.49       1.73   0      5      
F2         1      125.7    3.301      0      1.6    3.8      
H          0      145      2.05       0      0      0      
OH         1      80       2.75       0      0      0      
HO2        2      107.4    3.458      0      0      1      ! *
H2         1      38       2.92       0      0.79   280      
H2O        2      572.4    2.605      1.844  0      4      
H2O2       2      107.4    3.458      0      0      3.8      
O          0      80       2.75       0      0      0      
O2         1      107.4    3.458      0      1.6    3.8      
O3         2      180      4.1        0      0      2      
N          0      71.4     3.298      0      0      0      ! *
NH         1      80       2.65       0      0      4      
HNO        2      116.7    3.492      0      0      1      ! *
HONO       2      232.4    3.828      0      0      1      !=HNNO
NH2        2      80       2.65       0      2.26   4      
H2NO       2      116.7    3.492      0      0      1      ! JAM
HNOH       2      116.7    3.492      0      0      1      ! JAM
NH3        2      481      2.92       1.47   0      10      
N2         1      97.53    3.621      0      1.76   4      
NNH        2      71.4     3.798      0      0      1      ! *
HNNO       2      232.4    3.828      0      0      1      ! *
N2H2       2      71.4     3.798      0      0      1      ! *
N2H3       2      200      3.9        0      0      1      ! *
N2H4       2      205      4.23       0      4.26   1.5      
N2O        1      232.4    3.828      0      0      1      ! *
NO         1      97.53    3.621      0      1.76   4      
NO2        2      200      3.5        0      0      1      ! *
S          0      847      3.839      0      0      0      ! OIS
SH         1      847      3.9        0      0      1      ! OIS
HSO2       2      252      4.29       0      0      1      ! OIS
